account_no,account_name,vat,type,sheet
1000,Resultatopgørelse,,4,Sheet1
2000,OMSÆTNING,,4,Sheet1
2100,Varesalg,,4,Sheet1
2101,Konsulenthonorar,U25,1,Sheet1
2102,Konsulenthonorar Ework,U25,1,Sheet1
2103,Konsulenthonorar ZeroChaos Nordic ApS,U25,1,Sheet1
2104,Konsulenthonorar Vattenfall,U25,1,Sheet1
2105,Konsulenthonorar udland,,1,Sheet1
2110,Konsulenthonorar 3. Land,,1,Sheet1
2115,Div. varesalg,U25,1,Sheet1
2120,Afholdelses af kursus,U25,1,Sheet1
2130,Konsulenthonorar EU,UEUY,1,Sheet1
2140,Konsulenthonorar TW TECH,U25,1,Sheet1
2145,Konsulent Cyber,U25,1,Sheet1
2150,Transport m.m.,U25,1,Sheet1
2160,Igangværende arbejde regulering,,1,Sheet1
2170,Administration TW TECH,U25,1,Sheet1
2175,Administration Cyber,U25,1,Sheet1
2999,OMSÆTNING I ALT,,3,Sheet1
3000,OMKOSTNINGER,,4,Sheet1
3001,DIREKTE OMKOSTNINGER,,4,Sheet1
3002,Vareforbrug opgaver,I25,1,Sheet1
3010,Konsulentbistand,I25,1,Sheet1
3020,Afholdelse af kursus kunder,I25,1,Sheet1
3030,SW DK,I25,1,Sheet1
3040,SW EU Y,,1,Sheet1
3050,Konsulentbistand TW TECH,I25,1,Sheet1
3055,Konsulentbistand TW CYBER,I25,1,Sheet1
3070,Administration TW Tech,I25,1,Sheet1
3075,Administration TW CYBER,I25,1,Sheet1
3080,Fortoldning,,1,Sheet1
3099,Produktionsomk. i alt,,3,Sheet1
3100,Igangværende arbejde,,4,Sheet1
3111,Forbrug intern tid,,1,Sheet1
3122,Afregning intern tid,,1,Sheet1
3130,Igangværende arbejde i alt,,3,Sheet1
3299,Produktionsomk. i alt,,6,Sheet1
3499,**Dækningsbidrag 1**,,6,Sheet1
3501,Lønninger,,4,Sheet1
3502,Løn AM-grundlag,,1,Sheet1
3503,B-indkomst,,1,Sheet1
3504,Bonus/tantieme,,1,Sheet1
3505,Ferie overgangsperiode,,1,Sheet1
3510,Pension,,1,Sheet1
3530,Fri telefon,,1,Sheet1
3531,Sundhedsforsikring */*,,1,Sheet1
3550,B-indkomster,,1,Sheet1
3555,Bidragsfri a-indkomst,,1,Sheet1
3556,Reg. Feriepengeforpligtelse,,1,Sheet1
3558,Assistance m/moms,I25,1,Sheet1
3560,Kurser/udd./konferencer,I25,1,Sheet1
3565,Bruttotræk,,1,Sheet1
3570,"KM penge 3,73/km til 20.000 km, så 2,10/km",,1,Sheet1
3572,Diæter,,1,Sheet1
3575,Gaver og blomster,,1,Sheet1
3578,Atp,,1,Sheet1
3580,Samlet ATP,,1,Sheet1
3583,Danløn,I25,1,Sheet1
3585,Personale- og mødeomkostninger uden moms,,1,Sheet1
3586,Frokostordning,,1,Sheet1
3588,Personaleomkostninger med moms,I25,1,Sheet1
3589,Personale / Arrangementer uden moms,,1,Sheet1
3591,Restaurationsbesøg overarb. mv.,REP,1,Sheet1
3593,Sundhedsforsikring,,1,Sheet1
3594,Arbejdsskadeforsikring,,1,Sheet1
3595,Sygeforsikring,,1,Sheet1
